,Model,Series,Display Size (Inch),Shape,Display Type,Display Resolution,Response Time (ms),Refresh Rate (Hz),Viewing Angle,VGA Port,Brightness (cd/m2),Contrast Ratio (TCR/DCR),Others,Color,Part No,Warranty,Made in/ Assemble,Country Of Origin,Display Port,Specialty,Dimensions,HDMI Port,Aspect Ratio,DVI Port,Speaker (Built-in),USB Port,FreeSync,Touch Screen,Remote,Thunderbolt,Regular Price,Special Price
85,Viewsonic VX3276-2K-MHD 32 Inch,Regular,32,Widescreen,WQHD IPS TFT LCD Ultra Slim LED,2560x1440 (WxH) WQHD,4ms (Gray to Gray),24Hz - 75Hz,178 degree (H & V),,250cd/m2,"1200:1 (Typical), 80000000:1 (Dynamic)","1 x Mini DisplayPort, 1 x Earphone out, Panel Technology : SuperClear IPS TFT LCD, Display Area : 698.11mm (H) x 392.68mm (V), Aspect Ratio : 16:9, Colours : 1.07 Billion colours (10 bits colour depth), Colour Gamut : 75% of NTSC (Typ), Panel Surface : Anti-Glare type, Hard-coating (3H), Haze 25%, Pixel Pitch : 0.273mm (H) x 0.273mm (V), Compatibility: Windows 7, 8, 8.1, 10, Mac, Voltage : AC 100-240V (Universal); 50/60Hz, Consumption : 43W, Optimize : 41W, Conserve : 36W, DIMENSIONS (W x H x D): 712.89 x 416.4 x 38.2mm, WEIGHT: 5.6Kg",Black,,3 year,China,USA,1,"DDC/2B, DDC/CI, HDCP, Detachable Base, KENSINGTON Microsaver Security Compatible, WQHD SuperClear IPS Monitor with a Stylish Ultra-Slim Frameless Design, Stylish design, 10-bit colour, Flexible connectivity, Dual integrated speakers, Flicker-Free and Low Blue Light, Eco-mode",,2,,,2W x 2,,,,,,37870,35000
86,MSI Optix MAG271CR,Gaming,27,Curved,FHD LED,1920x1080 (WxH) FHD,1ms (MPRT),144Hz,178 degree (H & V),,300cd/m2,"3000:1 (Typical), 100000000:1 (DCR)","PANEL TYPE: VA, CURVATURE: 1800R, ACTIVE DISPLAY AREA (MM): 597.888(H) x 336.312(V), PIXEL PITCH (H X V): 0.3114 (H) x 0.3114 (V), SURFACE TREATMENT: Anti-glare, DISPLAY COLORS: 16.7M, DCI-P3 / SRGB: 90% / Up ot 115%, AUDIO PORTS: 1 x Earphone out, KENSINGTON LOCK: Yes, VESA MOUNTING: 100 x 100 mm, CONTROL: 5-way OSD navigation joystick, POWER TYPE: Internal Adaptor, POWER INPUT: 100-240V, 50-60Hz, WEIGHT: 6.4Kg",Black,,3 year,China,Taiwan,1,"Full HD AMD FreeSync, 144Hz Refresh Rate, 1ms response time, Gaming OSD App LED Curved Gaming Monitor, Headset Hanger, Curved Gaming display (1800R) - The best gameplay immersion, Mystic Light - The ultimate gaming finish, FHD High Resolution - Game titles will even look better, displaying more details due to the FHD resolution, Real smooth gaming, eliminate screen tearing and choppy frame rates, Gaming OSD App, True colors - DCI-P3 90% & sRGB 115%, AMD FreeSync - prevent screen tearing, Anti-Flicker and Less Blue Light - game even longer and prevent eye strain and fatique, Frameless design - Ultimate gameplay experience, built-in headset hanger",612 x 560 x 266.5mm,2,16:9,,,"2 x USB2.0, 1 x USB2.0 Type B (PC to Monitor)",Yes (AMD),,,,41230,38000
87,ASUS VA326H,Regular,31.5,Curved,FHD LED,1920x1080 (WxH) FHD,4ms (Gray to Gray),144Hz,178 degree (H & V),1,300cd/m2,"3000:1 (Max), 100000000:1 (ASCR)","Panel Backlight / Type: VA, Display Viewing Area(HxV) : 698.4 x 392.85 mm, Display Surface: Non-glare, Flicker free, Curved Panel : 1800R, Trace Free Technology : Yes, Skin-Tone Selection : 3 Modes, Color Temperature Selection : 4 Modes, GamePlus(modes) : Yes (Crosshair/Timer/Display Alignment), Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, GameVisual :6 Modes(Scenery/Racing/Cinema/RTS/RPG/FPS/sRGB Modes), PC Audio Input : 3.5mm Mini-Jack, Earphone jack : 3.5mm Mini-Jack, Power Voltage: 100???240V, 50/60Hz, Power Consumption: <28W (On mode), <0.5W (Saving mode & Off mode), USP: VA, 144Hz, 1800R panel curvature makes movies and games more immersive, Key Feature: FHD, Curved, HDMI, D-Sub, Dual-link DVI-D, VESA Wall Mounting",Black,VA326H,3 year,China,Taiwan,,"31.5 Inch FHD 144Hz, Curved, Flicker-free, Low Blue Light Monitor, 31.5","721.2 x 493.72 x 173.58mm (with Stand), 721.2 x 493.72 x 94.91mm (without Stand)",1,,1,2W x 2,,,,,,41230,38000
88,Benq ZOWIE XL2731,Regular,27,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),144Hz,,,320cd/m2,"1000:1 (Typical), 12M:1 (DCR)","Panel type???: TN, Display area: 597.60 x 336.15, Pixel pitch (mm): 0.311, Headphone jack: Yes, Built-in Power supply: 90-264 AC, Power consumption (On mode)???: <40W, weight: 7.7Kg",Black,,3 year,Taiwan,China,1,"Black eQualizer, Color Vibrance???, Low Blue Light???, Flicker-free, K Locker???, Variable Refresh Rate Technology compatible (FREESYNC), e-Sports Monitor, XL-series features the premiere monitors for PC e-Sports, fine-tuned to guarantee the smoothest and responsive experience, and the clearest images to arm for competition, Optimize Gaming Precision, Personalize Viewing Angles, Comfort for Long-Lasting Play, Minimize Visual Distractions",373.8 x 632.5 x 63.5mm (Without Base),2,16:9,1,,,Yes,,,,40910,38200
89,ASUS VG278QR,Gaming,27,Widescreen,FHD LED,1920x1080 (WxH) FHD,"0.5ms (Gray to Gray) (Min.), 1ms (Gray to Gray)",165Hz,"170 degree (H), 160 degree (V)",,400cd/m2,"1000:1 (Max), 10,00,00,000:1 (ASCR)","Color Saturation: 72%(NTSC), Panel Type: TN, Display Viewing Area(HxV): 597.6 x 336.15mm, Display Surface: Non-glare, Pixel Pitch: 0.311 mm, Display Colors: 16.7M, Trace Free Technology: Yes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, VividPixel: Yes, Smart View Technology: Yes, GameVisual: 7 Modes, PC Audio Input: Earphone out, Earphone jack: 3.5mm Mini-Jack, Security: Kensington lock, Weight: 5.6Kg, USP: Certified as G-SYNC Compatible, Adaptive Sync, 0.5ms, 165Hz, with Super Narrow Bezel Design, Key Feature: TN, Full HD, DisplayPort, Dual-link DVI-D, Stereo Speakers, Height Adjustment, VESA Wall Mounting",Black,,3 year,China,Taiwan,1,"27 Inch Full HD gaming monitor with an ultra-fast 165Hz refresh rate and Adaptive-Sync technology to eliminate screen tearing and choppy frame rates, Certified as G-SYNC Compatible, delivering a seamless, tear-free gaming experience by enabling VRR (variable refresh rate) by default, 0.5ms response time for smooth gameplay, and ASUS Extreme Low Motion Blur (ELMB) Technology to further reduce ghosting and motion blur, GameFast Input Technology minimizes input lag and provides much faster motion delivery from end devices to monitor, ASUS-exclusive GamePlus hotkey for in-game enhancements while GameVisual for optimized visuals, Trace Free Technology, 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, GamePlus modes- Crosshair/Timer/FPS Counter/Display Alignment, Low Blue Light, HDCP support, VividPixel, Smart View Technology, 7 Modes GameVisual (Scenery/Racing/Cinema/RTS/RPG/FPS/sRGB Modes/MOBA Mode), FreeSync technology supported, Extreme Low Motion Blur, GameFast Input technology","619 x (376-506) x 211mm (with Stand), 619 x 363 x 50mm (without Stand)",1,16:9,1,2W x 2 Stereo RMS,,,,,,41450,38800
90,Philips 328C7QJSG/69,Regular,32,Curved,FHD LED,1920x1080 (WxH) FHD,4ms (Gray to Gray),144Hz,178 degree (H & V),1,250cd/m2,"3000:1 (Typical), 20,000,000:1 (SmartContrast)","LCD panel type: MVA, Backlight type: W-LED system, Panel Size: 31.5 inch / 80 cm, Color gamut (typical): NTSC 103% (CIE1976), Effective viewing area: 698.4 (H) x 392.85 (V) - at a 1800R curvature, Pixel pitch: 0.364 x 0.364 mm, Flicker-free: Yes, Picture enhancement: SmartImage, Display colors: 16.7 M, sRGB: Yes, Tilt: -5/10 degree, Power supply: External 100-240VAC, 50-60Hz, Power Consumption On mode: 56.07 W (typ.), 58.37 W (max.), Sync Input: Separate Sync, Sync on Green, Audio (In/Out): HDMI / DP audio out, OS Supported: Windows 7, 8, 8.1, 10, Mac OS X, MTBF: 50,000 hrs (excluding backlight)",White,,3 year,China,Netherlands,1,"Full HD Curved LCD Monitor, Immersive design, smooth performance, Curved display design for more immersive experience, 144Hz refresh rates for ultra-smooth, brilliant images, SmartFrame highlights area to spot opponents easily, MVA Display for wide viewing angles and deep contrast levels, Ultra Wide-Color wider range of colors for a vivid picture, Less eye fatigue with Flicker-free technology, SmartImage game mode optimized for gamers, Effortlessly smooth gameplay with AMD FreeSync technology, SmartConnect with HDMI, Display port and Dual link DVI",,1,,,,,,,,,42320,39500
91,Samsung C27FG73FQW,Gaming,27,Curved,Vertical Alignment LED,1920x1080 (WxH) FHD,1ms,144Hz,178 degree (H & V),,350cd/m2,3000:1,"1 x Audio, Aspect Ratio: 16:9",Black,,3 year,,,1,Gaming Monitor,,2,,,,,,,,,42640,39800
92,Gigabyte AORUS CV27F-EK,Gaming,27,Curved,FHD LED,1920x1080 (WxH) FHD,1ms (MPRT),165Hz,178 degree (H & V),,400cd/m2,"3000:1 (Typical), 12M:1 (DCR)","Display Viewing Area (HxV): 597.888 (H)x336.312 (V) (mm), Panel Backlight/ Type: ELED / VA, Display Surface(non-glare/ glare): Non-glare type, Color Saturation: 90% of DCI-P3, Display Colors: 16.7M Colors, Flicker-free: Yes, Earphone Jack: Yes, Power Consumption: 75W(Max), Power Saving Mode: 0.5W, Power Off Mode: 0.3W, Voltage: AC 100V-240V, Kensington lock: Yes, Weight: 7Kg",Black,,3 year,,,1,"Curved FHD Gaming Monitor, Clear Sight, Fierce Strike, THE PERFECT CURVE FOR AAA GAMES, IMMERSE IN GAME WITH 1500R, FHD WITH 165HZ, SUPPORTS FREESYNC 2 TECHNOLOGY, 1MS RESPONSE TIME, WITHOUT ANY GHOSTING EFFECTS, NATIVE 1500R, GET THE IMMERSIVE FEEL, 90% DCI-P3, FEEL THE TRUE COLORS, HDR, EXPAND THE COLOR RANGE, BUILT-IN DIGITAL LED, GAMING AMBIENCE WITH RGB FUSION 2.0, DASHBOARD, BLACK EQUALIZER, ADJUST THE BLACKNESS LEVEL, GAMEASSIST, OSD SIDEKICK, ANC, AORUS UNIQUE IC DESIGN, AIM STABILIZER, ERGONOMIC DESIGN, EASY TO GET THE PERFECT VIEWING ANGLE, BLUE LIGHT REDUCTION, FLICKER-FREE","614 x 532 x 260mm (with Stand), 614 x 369 x 73.5mm (without Stand)",2,16:9,,,2 x USB3.0,Yes,,,,42860,40000
93,BenQ SW240,Regular,24,Widescreen,WUXGA IPS Display,1920x1200 (WxH) WUXGA,5ms (Gray to Gray),60Hz,178 degree (H & V),,250cd/m2,"1000:1 (typical), 20M:1 (DCR)","Color: Gray, Panel Type: IPS, Backlight Technology: LED backlight, Display Colors: 1.07 billion colors, Color Gamut: 99% AdobeRGB. 100% sRGB. 95% DCI-P3, Display Area(mm): 518.4x324.0, Pixel Pitch (mm): 0.27, PPI: 94, Color Bit: 10bits, Headphone Jack: Yes, Color Mode: Adobe RGB/ sRGB / Rec 709/ DCI-P3 / B&W / Darkroom/ DICOM /Calibration 1 /Calibration 2 / Calibration 3 / Custom 1 / Custom 2, Display Mode: Full, Aspect Ratio, 1:1, Gamma: 1.6 - 2.6, K Locker: Yes, HDCP: 1.4, AMA: Yes, Display Screen Coating: Anti-Glare, Card Reader: SD/MMC type, Support Format: SD/SDHC/SDXC/MMC, Power Voltage Rating: 100-240V, Power Consumption (on mode.): 55W, Compatible: Windows 7, 8, 8.1, 10, Mac, Net Weight (kg) (without shading hood): 6.7Kg",Gray,,3 year,China,Taiwan,1,"PhotoVue WUXGA Color Accuracy IPS Monitor for Photography, Photo Editor Monitor with Adobe RGB and 10-bit IPS Panel for Travel, 99% Adobe RGB, 100% sRGB, 95% DCI-P3 Color coverage, 10-bit IPS Panel with 14-bit 3D LUT Hardware Calibration, AQCOLOR Technology, 10-bit Color Display, 99% Adobe RGB, Palette Master Element Calibration Software, 14-Bit 3D LUT and Delta E<-2, Simple, Functional Design for Greater Efficiency, Extra Space for Viewing Convenience, Color Mode HotKey, Advanced Black & White Mode, Shading Hood","356.2 x 533.2 x 56.44mm (Without Base), 367.6 x 545.4 x 191.78mm (Without Base)(with shading hood)",1,16:10,1,,"3 x USB3.0 (1 x upstream, 2 x downstream)",,,,,45250,42000
94,ASUS VZ27AQ,Regular,27,Widescreen,2K WQHD IPS Eye Care Display,2560x1440 (WxH) WQHD,5ms (Gray to Gray),76Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Max), 10,00,00,000:1 (ASCR)","Aspect Ratio: 16:9, Color Saturation: 100%(sRGB), Panel Backlight / Type: In-Plane Switching, Display Surface: Non-glare, Display Colors: 16.7M, SPLENDID Video Preset Modes: 8 Modes (sRGB Mode/ Scenery Mode/ Theater Mode/ Standard Mode/ Night View Mode/ Game Mode/ Reading Mode/ Darkroom Mode), Color Temperature Selection: 4 Modes, GamePlus(modes): Yes (Crosshair/Timer), HDCP support: Yes, EyeCheck: Yes, Audio Input: 3.5mm Mini-Jack, USP: 100% sRGB, 7mm thin with WQHD, Key Feature: IPS, 1.07 Billion, 5ms, Ultra-slim, HDMI, D-Sub, DisplayPort, Frameless, Flicker Free, Blue Light Filter",Black,VZ27AQ,3 year,China,Taiwan,1,"Eye Care Monitor with WQHD, IPS, Ultra-slim, Frameless, Flicker Free, Blue Light Filter, SPLENDID Video Preset 8 Modes",612.7 x 440.8 x 210mm (with Stand),1,,,2W x 2 Stereo RMS,,,,,,45570,43000
95,Gigabyte AORUS KD25F-EK,Gaming,25,Widescreen,FHD LED,1920x1080 (WxH) FHD,0.5ms (MPRT),240Hz,"170 degree (H), 160 degree (V)",,400cd/m2,1000:1,"Display Viewing Area (HxV): 543.744x302.616, Panel Backlight/ Type: WLED / TN, Display Surface(non-glare/ glare): Non-glare, Color Saturation: 100% sRGB, Pixel Pitch: 0.283 (H) x 0.280 (V) (mm), Display Colors: 16.7M colors, Flicker-free: Yes, Earphone Jack: Yes, Power Consumption: 60W, Power Saving Mode: 0.5W, Power Off Mode: 0.3W, Voltage: AC 100V-240V, Kensington lock: Yes, Weight: 6.8kg",Black,,3 year,,,1,"Gaming Monitor, 0.5MS THE FAST RESPONSE TIME, G-SYNC COMPATIBLE, IMPROVE GAMING EXPERIENCE, AMD RADEON FREESYNC, NO STUTTERING OR TEARING, JUST GAMING, 240HZ WITH FHD, BUILT-IN DIGITAL LED, CREATE OWN GAMING AMBIENCE WITH RGB FUSION 2.0, DESIGN CONCEPT, WINGS OF EXCELLENCE, GAMEASSIST, BLACK EQUALIZER, ADJUST THE BLACKNESS LEVEL, AIM STABILIZER, OSD SIDEKICK, SET OSD WITH A MOUSE, ANC, AORUS UNIQUE IC DESIGN, PIP AND PBP, DIFFERENT SIGNALS AT SAME TIME, ERGONOMIC DESIGN, EASY TO GET THE PERFECT VIEWING ANGLE, BLUE LIGHT REDUCTION, FLICKER-FREE Without causing eye strain and other injuries, POWER BOARD BUILD-IN","558 x 485-548 x 236mm (with Stand), 558 x 333 x 63mm (without Stand)",2,16:9,,,2 x USB3.0,Yes,,,,46870,43500
96,ASUS VP28UQG,Gaming,,Widescreen,4K UHD,3840x2160 (WxH) 4K UHD,1ms (Gray to Gray),40-60Hz (V),,,300cd/m2,"1000:1 (Typical), 100000000:1 (ASCR)","Earphone jack: 3.5mm Mini-Jack, Pixel Pitch: 0.16 mm, Display Colors: 1073.7M (10bit), Flicker free: Yes, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, 2.2, VividPixel: Yes, FreeSync technology support: Yes, Chassis Colors: Black, Tilt: -5degree~+20degree, Weight: 5.4Kg, USP: 4K UHD, 1073.7M (10bit), 1ms, Adaptive-Sync/FreeSync, Key Feature: TN, HDMI, DisplayPort, VESA Wall Mounting",Black,,3 year,China,Taiwan,1,"28-inch 4K UHD (3840 x 2160) monitor for stunning photo-realistic visuals, Lightning-fast 1ms rapid response time and Adaptive-Sync technology for incredibly-smooth and fast gaming visuals, Extensive connectivity with DisplayPort1.2, HDMI(v2.0) x 2 for 4K UHD playback, ASUS-exclusive GamePlus with crosshair, timer, FPS counter, display alignment functions, TUV Rheinland Certification for Flicker-free and Low Blue Light technology to ensure a comfortable viewing experience, Adaptive-Sync/FreeSync, Flicker Free, Blue Light Filter","660.4 x 445.8 x 229.4mm (with Stand), 660.4 x 380.8 x 62.2mm (without Stand)",2,16:9,,,,,,,,47200,44000
97,Asus ROG Strix XG248Q,Gaming,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),240Hz,"170 degree (H), 160 degree (V)",,400cd/m2,1000:1,"Panel Backlight / Type: TN, Display Viewing Area(HxV): 527.04 x 296.46mm, Display Surface: Non-glare, Pixel Pitch: 0.2745mm, Display Colors: 16.7M, Flicker free, Trace Free Technology: Yes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, GameVisual: 8 Modes, Earphone jack: 3.5mm Mini-Jack, Weight: 6Kg, USP: 240Hz, Certified as G-SYNC Compatible, Ultra-fast 1ms response time and Adaptive-Sync, Asus Aura Sync, Key Feature: TN, FHD, 16.7M, HDMI, DisplayPort, USB Port, Height Adjustment, VESA Wall Mounting",Black,,3 year,China,Taiwan,1,"Flicker free, Trace Free Technology, 4 Modes Color Temperature Selection, Crosshair/Timer/FPS Counter/Display Alignment GamePlus modes, Low Blue Light, HDCP support, 8 Modes GameVisual (Scenery/Racing/Cinema/RTS/RPG/FPS/sRGB Modes/MOBA Mode/User Mode), G-Sync compatible, FreeSync technology supported, Display Widget, Extreme Low Motion Blur, GameFast Input technology, Adaptive-Sync, Asus Aura Sync","557.6 x 334.6 x 76.17mm (without Stand), 557.6 x (385.6 - 505.6) x 253.6mm (with Stand)",2,16:9,,,2 x USB3.0,,,,,47520,44000
98,ASUS Designo MZ27AQ,Regular,27,Widescreen,Ultraslim WQHD,2560x1440 (WxH) WQHD,5ms (Gray to Gray),40 - 60Hz,178 degree (H & V),,350cd/m2,1000:1,"Panel Size: Wide Screen 16:9, Color Saturation : 100%(sRGB), Panel Backlight / Type : IPS, Display Surface: Non-glare, Pixel Pitch : 0.233mm, ASUS Smart Contrast Ratio (ASCR) : 100000000:1, Display Colors : 16.7M (real 8 bit), Trace Free Technology : Yes, SPLENDID Video Preset Modes : 8 Modes, Skin-Tone Selection : 3 Modes, Color Temperature Selection : 4 Modes, QuickFit (modes) : Yes, GamePlus(modes) : Yes, Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, EyeCheck : Yes, AudioWizard Preset Sound modes : 4 Modes, Convenient Hotkey: Blue Light Filter, Volume Adjustment, 5-way OSD Navigation Joystick, Earphone jack : 3.5mm Mini-Jack, Slim Design : Yes, Frameless Design : Yes, Kensington lock, USP: Slim profile, 100% sRGB, 7mm-thin, Contrast Ratio 1000:1, real 8 bit, Powerful audio with WQHD resolution, Key Feature: IPS, 5ms, 16.7M (real 8 bit), HDMI, DisplayPort, Slim Design, Frameless Design",Black,MZ27AQ,3 year,China,Taiwan,1,"Mac supported, Ultraslim Monitor WQHD, Frameless, Harman Kardon Audio with 5W External Sub-Woofer, 27-inch WQHD IPS monitor with 100% sRGB color coverage and wide viewing angles, Frameless panel with ultraslim design and a 7mm-thin chassis, Powerful 2.1-channel audio with two 6W stereo speakers and an external 5W subwoofer, co-developed with Harman Kardon, ASUS Eye Care monitors feature TUV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience, SPLENDID Video Preset Modes (sRGB Mode/Scenery Mode/Theater Mode/Standard Mode/Night View Mode/Game Mode/Reading Mode/Darkroom Mode), QuickFit (Letter/A4/B5/Alignment Grid/Photo Modes), GamePlus (Crosshair/Timer/FPS Counter/Display Alignment), AudioWizard Preset Sound modes (Gaming mode / Movie mode / Music mode / User mode)",,2,16:9,,"6W x 2 Stereo, External Subwoofer 5W",,,,,,47740,44500
99,HP Z27N G2,Regular,,Widescreen,2K QHD IPS Display,2560x1440 (WxH) WQHD,5.3ms (Gray to Gray),60Hz,178 degree (H & V),,350cd/m2,"1,000:1 (Typical), 10,000,000:1 (DCR)","Display Panel Type: IPS, LED Backlit, Micro-Edge Bezel: Yes, 3 sided, Panel Hardness: 3H, Panel Bit Depth: True 8-Bit, 16.7 Million colors, Flicker Free: Yes, Pixel Pitch: 0.233 mm, Pixels Per Inch (PPI): 111.89ppi, Backlight Lamp Life (to half brightness - in hours): 30,000 hours minimum, Low Blue Light Capable: Yes, Anti-Glare Panel: Yes, Haze 25%, sRGB: >99% sRGB, Detachable Base: Yes, Security Lock Ready: Yes, Input Power: 100 - 240 VAC 50/60 Hz, Power Consumption: 115 W (Max.), 48 W (Typical)",Black,1JS10A4,3 year,China,USA,2,,613 x 214 x 509mm (with stand),1,16:9,1,,"5 x USB (3 x USB3.0 Downstream, 1 x USB3.1 Type-C Downstream, 1 x USB3.1 Type-C Upstream)",,,,,49910,46500
100,BenQ ZOWIE XL2546,Gaming,24.5,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),240Hz,,,320cd/m2,"1000:1 (Typical), 12M:1 (DCR)","Display area: 543.744 x 302.616mm, Pixel pitch (mm): 0.28, Panel type: TN, Headphone jack, Microphone jack, Power supply (90-264 AC): Built-in, Power consumption (On mode): 55W, Net weight (kg): 7.5Kg",Black,,3 year,China,Taiwan,1,"FHD 240Hz DyAc Technology Gaming Monitor, Dynamic Accuracy, Shield, S Switch, Black eQualizer, Color Vibrance, Low Blue Light, Flicker-free (DyAc off), K Locker, DyAc Technology - A Different Spray Feeling, Native 240Hz Refresh Rate - Smoothness Evolution, Spot Hidden Enemies, Optimize Gaming Precision, Easily Access Settings for Different Scenarios, Game Modes for Enhanced Gaming Experience, Minimize Visual Distractions",515.43 (Highest) / 445.75 (Lowest) x 569.94 x 226.04mm,2,16:9,1,,"4 x USB (1 x Upstream, 3 x Downstream)",,,,,52620,49000
101,Asus Designo Curve MX32VQ,Regular,32,Curved,2K WQHD LED,2560x1440 (WxH) WQHD,4ms (Gray to Gray),75Hz,178 degree (H & V),,300cd/m2,"3000:1 (Max), 100000000:1 (ASCR)","Color Saturation: 125%(sRGB), Display Viewing Area(HxV): 697.344 x 392.256 mm, Display Surface: Non-glare, Pixel Pitch: 0.2724 mm, Display Colors: 16.7M, Curved Panel: 1800R, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, Adaptive-Sync supported: Yes, Stereo Speakers: 8W x 2 Stereo RMS with ASUS SonicMaster and Harman Kardon Technologies, AudioWizard Preset Sound modes: 4 Modes, Convenient Hotkey: 5-way OSD Navigation Joystick, PC Audio Input: 3.5mm Mini-Jack, Earphone jack: 3.5mm Mini-Jack, Power ON Mode: <36W, Frameless Design: Yes, Security: Kensington lock, Weight: 8.6Kg, USP: 125%(sRGB), 4ms, 1800R Curvature, 75Hz, Key Feature: WQHD, Halo Lighting Base, Audio by Harman Kardon, Frameless Design, HDMI, DisplayPort",Space Gray + Black,MX32VQ,3 year,China,Taiwan,1,"Flicker free, Trace Free Technology, 8 Modes SPLENDID Video Preset, 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, GamePlus (Crosshair/Timer/FPS Counter modes), Low Blue Light, HDCP support, FreeSync technology supported, Adaptive-Sync supported, 4 Modes AudioWizard Preset Sound (Gaming mode / Movie mode / Music mode / User mode), Curved Monitor, WQHD monitor with 178degree wide-view angle in frameless design for edge-to-edge brilliance, 8-Watts stereo speakers featured with Harman Kardon?? Audio and ASUS SonicMaster technologies, Comfortable viewing experience with 1800R curvature, Halo Lighting Base supporting rhythm sync function with intuitive volume & LED lighting control key, Frameless, Halo Lighting Base, Audio by Harman Kardon, Flicker Free, Blue Light Filter, Inspired elegance, Immersive experience, Perfectly curved for a wider view, WQHD resolution for incredibly detailed images, Wide gamut and high contrast ratio for vibrant colors, Halo Lighting for a delightful experience, Premium technology for enhanced audio, Co-developed with Harman Kardon, Protect eyes with ASUS Eye Care technology",713.4 x 501.2 x 239.7mm (with Stand),2,16:9,,8Watt x 2 Stereo RMS,,Yes,,,,52620,49000
102,Dell S2719DGF,Gaming,27,Widescreen,2.5K QHD LED,2560x1440 (WxH) WQHD,1ms (Gray to Gray),"30-230kHz (H), 40-144Hz (V)",160 & 170 degree (H & V),,350cd/m2,"1000:1 (Typical), 8000000:1 (dynamic)","1 x Headphones, 1 x Audio line-out, Device Type: LED-backlit LCD monitor, Adaptive-Sync Technology: AMD FreeSync, Panel Type: TN, Pixel Pitch: 0.2331 mm, 155 Hz, Colour Support: 16.7 million colours, Display Position Adjustments: Height, pivot (rotation), swivel, tilt, Screen Coating: Anti-glare, 3H Hard Coating, Backlight Technology: E-LED, Weight: 6.05Kg",,,3 year,,,1,"72% (CIE 1931) colour gamut, game mode, ComfyView, 84% (CIE 1976) colour gamut, Flicker Free technology, BFR/PVC-free, Energy Gauge, Mercury free, arsenic-free glass, Dark Stabilizer, Low Blue Light technology, Smooth gameplay, Experience sharp, tear-free graphics with a swift refresh rate up to 155Hz (overclocked) and AMD FreeSync for super smooth visuals, Leave lag behind, Get blazing fast and responsive gameplay with minimum input lag at an extremely rapid 1ms response time, Bask in every detail, Enjoy vivid edge-to-edge gameplay and crisp QHD resolution","611.6 x 394.8 x 184.4mm (With stand), 611.6 x 361.6 x 55.2mm (Without stand)",2,16:9,,,"1 x USB3.0 (Upstream), 4 x USB3.0 (Downstream)",,,,,54250,50000
103,BenQ EW3270U,Gaming,32,Widescreen,4K UHD,3840x2160 (WxH) 4K UHD,4ms,60Hz,178 degree (H & V),,300cd/m2,"3000:1 (typical), 20M:1 (DCR)","Color: Metallic grey, Panel Type: VA Type, Backlight Technology: LED backlight, Display Colors: 1.07 billion colors, Color Gamut: 95% DCI-P3, Display Area(mm): 698.4 x 392.85, PPI: 140, Color Bit: 10 bit, Headphone Jack: Yes, Color Temperature: Reddish / Normal/ Bluish /user mode, K Locker: Yes, HDCP: Yes, AMA: Yes, Flicker-free Technology: Yes, Low Blue Light: Yes, Brightness Intelligence Plus (B.I.+): Yes, Power Voltage Rating: 90-264 AC, Power Consumption (on mode.): 76W, Net Weight (kg): 7.5Kg",,,3 year,China,Taiwan,1,"4K HDR Gaming Monitor, Video Enjoyment Monitor with Eye-care Technology, High Dynamic Range (HDR), 95% DCI-P3 Wide Color Gamut, 4 levels of HDR and B.I.+ modes to allow users to have the most suitable clarity for displayed content based on the conditions in different viewing environments, Hyper-Realistic Video Quality with Display HDR, AMD FreeSync, Multiple-Platform Connectivity, Wall Mountable, Eye Care Features for Long Hours of Game Play, Brightness Intelligence Plus, Low Blue Light, Flicker-Free",522.2 x 726.4 x 215mm,1,16:9,,2W x 2,1 x USB Type-C,Yes,,,,60220,55500
